plane_id,analyte,mass_discharge_g_d_mean,mass_discharge_g_d_p05,mass_discharge_g_d_p50,mass_discharge_g_d_p95,mass_discharge_g_d_cv,n_realizations
CP1,6:2 FTS,0.11880857709714338,0.031180154684178264,0.09520760767570516,0.2869541510728643,0.7333760774887549,10000
CP1,PFBA,0.1877860629823197,0.05133516737239282,0.15402564430863327,0.43977461578672433,0.6936122906280119,10000
CP1,PFBS,0.057917469014034155,0.016083992764935186,0.0473859431683605,0.1342148880341325,0.6865828062488747,10000
CP1,PFHxS,0.24382642069501936,0.0610196011669084,0.18996381504139584,0.6119811534353581,0.7870211377412086,10000
CP1,PFOA,0.08954465356302557,0.02252705344253195,0.07082809975889111,0.2214353653382323,0.7652595593281659,10000
CP1,PFOS,0.7426374863518537,0.19111526752113872,0.5889820008348764,1.8143204558349368,0.7518938015895555,10000
CP2,6:2 FTS,0.057516718588785466,0.015882800089698758,0.04618128293291095,0.13725105258207318,0.7161842654192747,10000
CP2,PFBA,0.19730510807661808,0.060390181502236816,0.1650666038760011,0.43446370341274504,0.6283583842331535,10000
CP2,PFBS,0.06654638749440545,0.02021097657139752,0.05584983776093194,0.14971821365903315,0.6403001940437467,10000
CP2,PFHxS,0.10789053633812669,0.030526460729645065,0.08649474032343027,0.25867398543500647,0.7090584583351738,10000
CP2,PFOA,0.05776436797590575,0.016287808538930897,0.046955399585089555,0.13624843837897763,0.6964556889954796,10000
CP2,PFOS,0.36902295492727666,0.10402396243470881,0.2970549550477889,0.8852397118211942,0.7090488145165035,10000
CP3,6:2 FTS,0.0007970182116600462,0.0002082772191221028,0.0006346883582938974,0.001948764089154733,0.7452660832448782,10000
CP3,PFBA,0.010316717571460262,0.0032071428699052707,0.008693817869975558,0.023227123644310305,0.6330747513317359,10000
CP3,PFBS,0.0035055604282014526,0.0011240038026169034,0.002957535409220461,0.00783888871958305,0.6262026406442759,10000
CP3,PFHxS,0.002484197852329907,0.0007029019888465896,0.002001660488028598,0.005957418964778427,0.7188498786113644,10000
CP3,PFOA,0.0016394465995092076,0.00047293853933463447,0.001333104340226369,0.003816804104655591,0.6889688405245712,10000
CP3,PFOS,0.009945569515460375,0.0028201167459863626,0.00805024682010505,0.023868097586854035,0.7192125982973577,10000
