node_id,node_type,group_id,included_analytes,n_realizations,unit_note,measured_group_load_mean,measured_group_load_p05,measured_group_load_p50,measured_group_load_p95,measured_group_load_cv,F_comp_adjusted_group_load_mean,F_comp_adjusted_group_load_p05,F_comp_adjusted_group_load_p50,F_comp_adjusted_group_load_p95,F_comp_adjusted_group_load_cv
SW01,upstream creek,G1,PFOS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.00857792342188489,0.002344582125251434,0.007522817315975839,0.01837577472278258,0.5910496368634238,0.010013402274675048,0.0027038204336885703,0.00875385046816367,0.021615844567246734,0.6026915029696936
SW01,upstream creek,G2,PFHxS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.002157500752380608,0.0005975605060218255,0.0018982057106827124,0.004625124363673364,0.5883098969116523,0.002520181189533807,0.0006920023382813081,0.002200885374378043,0.005501868289579338,0.6004553708619182
SW01,upstream creek,G3,PFOS;PFHxS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.010735424174265498,0.003068342926918923,0.009610814546147917,0.022247906510057945,0.56566883435549,0.01507279971244256,0.004130438309402214,0.013190923876154918,0.03298324116812466,0.5980063765808794
SW01,upstream creek,G4,PFOS;PFHxS;PFOA;PFBA;PFBS;6:2 FTS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.040818643185016226,0.012389290315759452,0.03724771048390671,0.08178580707071756,0.5342433516162557,0.07255920881981547,0.02004715225911735,0.06310382838342771,0.15670406889167285,0.6026984580006811
SW01,upstream creek,G5,PFBA;PFBS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.02576986143911164,0.0076179097345842215,0.02306041561722791,0.05331242684145941,0.5573873973439042,0.030106698163644568,0.008760131107474553,0.026774389756244153,0.06277162730030775,0.5707646772926918
SW01,upstream creek,G6,6:2 FTS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
SW02,headwater pond / drainage node,G1,PFOS,10000,g/d if flow is m3/d; g/event if flow is an event volume,2.582172944042181,0.6792654235830914,2.2228455069730595,5.692728420566273,0.6186903660637914,3.0157164810904886,0.7829512933266092,2.5604005207464064,6.737670415349195,0.6304809535193884
SW02,headwater pond / drainage node,G2,PFHxS,10000,g/d if flow is m3/d; g/event if flow is an event volume,0.923707334969966,0.24321952221896592,0.798476213425207,2.0223115996461556,0.6129616565479684,1.0787647834962324,0.2809800517825763,0.9251299451908463,2.388039424368638,0.623532555860976
SW02,headwater pond / drainage node,G3,PFOS;PFHxS,10000,g/d if flow is m3/d; g/event if flow is an event volume,3.5058802790121466,0.9711978611910203,3.068182825407299,7.482665862586913,0.5885271085877639,4.923674356220269,1.3203691975188776,4.241728326537405,10.825986457351323,0.6183257890425107
SW02,headwater pond / drainage node,G4,PFOS;PFHxS;PFOA;PFBA;PFBS;6:2 FTS,10000,g/d if flow is m3/d; g/event if flow is an event volume,5.211178807108821,1.5098997355998072,4.643725875528945,10.813429511717583,0.5641290486371168,9.262149959129284,2.392696157543086,7.9342154039256965,20.73879155371082,0.6294258188117337
