receptor_id,receptor_type,linked_plane_or_node,group_id,load_source,load_type,P_exceed_placeholder_allowable,n_realizations,warning,current_load_g_d_mean,current_load_g_d_p05,current_load_g_d_p50,current_load_g_d_p95,current_load_g_d_cv,allowable_load_g_d_mean,allowable_load_g_d_p05,allowable_load_g_d_p50,allowable_load_g_d_p95,allowable_load_g_d_cv,load_ratio_mean,load_ratio_p05,load_ratio_p50,load_ratio_p95,load_ratio_cv
R1,groundwater supply bore,GW07,G3,extracted-water load,F_comp adjusted scenario,1.0,10000,allowable load uses placeholder synthetic criterion; not a regulatory decision,0.01728371513174847,0.004885939979263079,0.015202830215863048,0.03702084797112502,0.5847403782061169,4.1570524106829134e-05,1.332887073408373e-05,3.8048691395703194e-05,8.102739532763534e-05,0.5024482876498209,567.0737371619041,102.69139334643924,397.9379812632129,1607.5773452077465,0.9689877401539292
R2,creek / wetland receptor,SW04,G3,surface-water or stormwater load,F_comp adjusted scenario,1.0,10000,allowable load uses placeholder synthetic criterion; not a regulatory decision,0.9551426753848385,0.24485357114644152,0.8461151885787007,2.0621521142221786,0.5896392090920217,0.006861856972053944,0.0018445287529294421,0.006116134977561501,0.014370794169834044,0.5673799466741548,208.20302992358305,30.678407079053642,139.24666376895465,614.8602073305935,1.124814075974665
R3,estuary / coastal discharge zone,CP3,G3,control-plane mass discharge,F_comp adjusted scenario,0.5875,10000,allowable load uses placeholder synthetic criterion; not a regulatory decision,0.01741339121943071,0.004750622686058643,0.013933975881711524,0.04198882153896587,0.7377225462143417,0.013062087999244361,0.004204249024083343,0.011843004550997498,0.025569932396425927,0.5096509124210848,1.8145667768131895,0.3064357779591579,1.2053783158908404,5.292476745451779,1.102545616366581
R4,stormwater event pathway,SW05,G3,surface-water or stormwater load,F_comp adjusted scenario,0.9985,10000,allowable load uses placeholder synthetic criterion; not a regulatory decision,5.903780218247404,0.4186438790709311,4.89042254801691,14.715517778495041,0.7763729434883881,0.011741251876567696,0.0030671222392674117,0.010715124634815922,0.023815551787588304,0.5487245244755442,761.3667895296294,34.45414609591287,455.9350464938914,2416.498324592478,1.330957560512359
